RespNum,Task,Concept,Brands,Container Size,Price,Pulp,From Concentrate,Added Vitamins,Gender,Age,OperatingSystem,Answer
5,1,1,Tropicana ,58 fl oz Carton,$3.89 ,Lots of pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,1
5,1,2,Local Store Brand,58 fl oz Carton,$4.59 ,Medium pulp,Yes,Vitamins D,Male,35 - 44,Desktop,0
5,1,3,Minute Made,128floz Bottle ,$6.00 ,Some pulp,No,Calcium,Male,35 - 44,Desktop,0
5,1,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,2,1,Minute Made,128floz Bottle ,$4.89 ,Some pulp,Yes,Vitamins D and Calcium ,Male,35 - 44,Desktop,1
5,2,2,Tropicana ,58 fl oz Carton,$4.89 ,Lots of pulp,No,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,0
5,2,3,Tropicana ,58 fl oz Carton,$3.89 ,No pulp,No,Vitamins D,Male,35 - 44,Desktop,0
5,2,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,3,1,Simply Orange,128floz Bottle ,$6.00 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,3,2,Local Store Brand,58 fl oz Carton,$4.89 ,Some pulp,Yes,Plant Sterols ,Male,35 - 44,Desktop,0
5,3,3,Local Store Brand,128floz Bottle ,$4.89 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,3,4,None,None,None,None,None,None,Male,35 - 44,Desktop,1
5,4,1,Local Store Brand,58 fl oz Carton,$3.89 ,No pulp,Yes,Vitamins D and Calcium ,Male,35 - 44,Desktop,0
5,4,2,Simply Orange,128floz Bottle ,$4.89 ,Lots of pulp,Yes,Plant Sterols ,Male,35 - 44,Desktop,1
5,4,3,Minute Made,58 fl oz Carton,$4.59 ,Some pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,4,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,5,1,Minute Made,128floz Bottle ,$6.00 ,No pulp,Yes,Vitamins D,Male,35 - 44,Desktop,0
5,5,2,Minute Made,58 fl oz Carton,$4.59 ,Medium pulp,Yes,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,0
5,5,3,Tropicana ,128floz Bottle ,$4.89 ,Medium pulp,No,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,1
5,5,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,6,1,Simply Orange,128floz Bottle ,$5.59 ,Lots of pulp,Yes,Calcium,Male,35 - 44,Desktop,0
5,6,2,Simply Orange,58 fl oz Carton,$4.59 ,Lots of pulp,Yes,Vitamins D,Male,35 - 44,Desktop,0
5,6,3,Tropicana ,128floz Bottle ,$5.59 ,Some pulp,No,Vitamins D,Male,35 - 44,Desktop,1
5,6,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,7,1,Simply Orange,128floz Bottle ,$4.59 ,No pulp,No,Vitamins D and Calcium ,Male,35 - 44,Desktop,0
5,7,2,Minute Made,58 fl oz Carton,$5.59 ,Lots of pulp,No,Vitamins D and Calcium ,Male,35 - 44,Desktop,1
5,7,3,Local Store Brand,58 fl oz Carton,$3.89 ,Some pulp,Yes,Calcium,Male,35 - 44,Desktop,0
5,7,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,8,1,Tropicana ,58 fl oz Carton,$5.59 ,Some pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,1
5,8,2,Local Store Brand,128floz Bottle ,$4.59 ,Lots of pulp,No,Vitamins D and Calcium ,Male,35 - 44,Desktop,0
5,8,3,Minute Made,58 fl oz Carton,$3.89 ,Lots of pulp,No,Plant Sterols ,Male,35 - 44,Desktop,0
5,8,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,9,1,Simply Orange,128floz Bottle ,$6.00 ,Some pulp,Yes,Vitamins D and Calcium ,Male,35 - 44,Desktop,1
5,9,2,Local Store Brand,58 fl oz Carton,$5.59 ,No pulp,No,Plant Sterols ,Male,35 - 44,Desktop,0
5,9,3,Minute Made,58 fl oz Carton,$4.89 ,No pulp,No,Calcium,Male,35 - 44,Desktop,0
5,9,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,10,1,Tropicana ,128floz Bottle ,$6.00 ,Medium pulp,Yes,Plant Sterols ,Male,35 - 44,Desktop,1
5,10,2,Simply Orange,58 fl oz Carton,$3.89 ,Medium pulp,No,Plant Sterols ,Male,35 - 44,Desktop,0
5,10,3,Simply Orange,58 fl oz Carton,$4.89 ,No pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,10,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,11,1,Local Store Brand,128floz Bottle ,$6.00 ,Lots of pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Male,35 - 44,Desktop,0
5,11,2,Tropicana ,128floz Bottle ,$4.59 ,No pulp,Yes,Calcium,Male,35 - 44,Desktop,1
5,11,3,Tropicana ,58 fl oz Carton,$5.59 ,Medium pulp,Yes,Vitamins D and Calcium ,Male,35 - 44,Desktop,0
5,11,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,12,1,Tropicana ,128floz Bottle ,$4.59 ,Some pulp,No,Plant Sterols ,Male,35 - 44,Desktop,0
5,12,2,Simply Orange,58 fl oz Carton,$3.89 ,Medium pulp,No,Calcium,Male,35 - 44,Desktop,1
5,12,3,Local Store Brand,128floz Bottle ,$6.00 ,Lots of pulp,Yes,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,0
5,12,4,None,None,None,None,None,None,Male,35 - 44,Desktop,0
5,13,1,Minute Made,128floz Bottle ,$5.59 ,No pulp,Yes,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,0
5,13,2,Simply Orange,58 fl oz Carton,$5.59 ,Some pulp,No,"Multi B Vitamins (B , B6, B12)",Male,35 - 44,Desktop,0
5,13,3,Local Store Brand,128floz Bottle ,$5.59 ,Medium pulp,No,Vitamins D,Male,35 - 44,Desktop,0
5,13,4,None,None,None,None,None,None,Male,35 - 44,Desktop,1
7,1,1,Tropicana ,58 fl oz Carton,$4.59 ,Lots of pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,25 - 34,iPhone,0
7,1,2,Minute Made,128floz Bottle ,$6.00 ,No pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,25 - 34,iPhone,1
7,1,3,Local Store Brand,128floz Bottle ,$6.00 ,Some pulp,No,Vitamins D and Calcium ,Female,25 - 34,iPhone,0
7,1,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,2,1,Simply Orange,58 fl oz Carton,$4.89 ,Lots of pulp,No,Vitamins D,Female,25 - 34,iPhone,1
7,2,2,Minute Made,58 fl oz Carton,$5.59 ,Some pulp,Yes,Plant Sterols ,Female,25 - 34,iPhone,0
7,2,3,Minute Made,128floz Bottle ,$4.59 ,Lots of pulp,No,Plant Sterols ,Female,25 - 34,iPhone,0
7,2,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,3,1,Minute Made,58 fl oz Carton,$3.89 ,Medium pulp,Yes,Vitamins D and Calcium ,Female,25 - 34,iPhone,0
7,3,2,Local Store Brand,58 fl oz Carton,$3.89 ,Medium pulp,No,"Multi B Vitamins (B , B6, B12)",Female,25 - 34,iPhone,0
7,3,3,Simply Orange,128floz Bottle ,$6.00 ,Lots of pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,25 - 34,iPhone,1
7,3,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,4,1,Local Store Brand,128floz Bottle ,$4.59 ,Medium pulp,Yes,Vitamins D,Female,25 - 34,iPhone,0
7,4,2,Simply Orange,58 fl oz Carton,$3.89 ,Some pulp,Yes,Plant Sterols ,Female,25 - 34,iPhone,1
7,4,3,Tropicana ,128floz Bottle ,$6.00 ,No pulp,No,Plant Sterols ,Female,25 - 34,iPhone,0
7,4,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,5,1,Simply Orange,58 fl oz Carton,$4.89 ,No pulp,No,Vitamins D and Calcium ,Female,25 - 34,iPhone,1
7,5,2,Local Store Brand,58 fl oz Carton,$4.89 ,No pulp,Yes,Vitamins D,Female,25 - 34,iPhone,0
7,5,3,Tropicana ,128floz Bottle ,$5.59 ,Some pulp,No,Vitamins D,Female,25 - 34,iPhone,0
7,5,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,6,1,Simply Orange,58 fl oz Carton,$3.89 ,No pulp,No,Calcium,Female,25 - 34,iPhone,1
7,6,2,Local Store Brand,128floz Bottle ,$4.89 ,Some pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,25 - 34,iPhone,0
7,6,3,Simply Orange,58 fl oz Carton,$4.59 ,Some pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,25 - 34,iPhone,0
7,6,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,7,1,Tropicana ,58 fl oz Carton,$5.59 ,No pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,25 - 34,iPhone,0
7,7,2,Simply Orange,128floz Bottle ,$6.00 ,Medium pulp,No,Vitamins D,Female,25 - 34,iPhone,1
7,7,3,Minute Made,128floz Bottle ,$4.59 ,Some pulp,No,Calcium,Female,25 - 34,iPhone,0
7,7,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,8,1,Local Store Brand,128floz Bottle ,$5.59 ,Lots of pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,25 - 34,iPhone,1
7,8,2,Tropicana ,58 fl oz Carton,$4.59 ,Medium pulp,Yes,Vitamins D,Female,25 - 34,iPhone,0
7,8,3,Local Store Brand,128floz Bottle ,$5.59 ,No pulp,No,Plant Sterols ,Female,25 - 34,iPhone,0
7,8,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,9,1,Minute Made,58 fl oz Carton,$3.89 ,Lots of pulp,Yes,Vitamins D,Female,25 - 34,iPhone,1
7,9,2,Tropicana ,128floz Bottle ,$6.00 ,Medium pulp,No,Vitamins D and Calcium ,Female,25 - 34,iPhone,0
7,9,3,Tropicana ,128floz Bottle ,$4.89 ,Some pulp,Yes,Calcium,Female,25 - 34,iPhone,0
7,9,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,10,1,Tropicana ,58 fl oz Carton,$3.89 ,Lots of pulp,No,Calcium,Female,25 - 34,iPhone,0
7,10,2,Simply Orange,128floz Bottle ,$5.59 ,Medium pulp,Yes,Calcium,Female,25 - 34,iPhone,1
7,10,3,Local Store Brand,58 fl oz Carton,$5.59 ,Lots of pulp,No,Vitamins D and Calcium ,Female,25 - 34,iPhone,0
7,10,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,11,1,Minute Made,128floz Bottle ,$4.89 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,25 - 34,iPhone,1
7,11,2,Local Store Brand,128floz Bottle ,$6.00 ,Lots of pulp,Yes,Calcium,Female,25 - 34,iPhone,0
7,11,3,Minute Made,58 fl oz Carton,$4.59 ,No pulp,No,"Multi B Vitamins (B , B6, B12)",Female,25 - 34,iPhone,0
7,11,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,12,1,Local Store Brand,58 fl oz Carton,$3.89 ,Some pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,25 - 34,iPhone,0
7,12,2,Tropicana ,128floz Bottle ,$4.89 ,Lots of pulp,No,"Multi B Vitamins (B , B6, B12)",Female,25 - 34,iPhone,0
7,12,3,Simply Orange,128floz Bottle ,$4.59 ,No pulp,Yes,Vitamins D and Calcium ,Female,25 - 34,iPhone,1
7,12,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
7,13,1,Minute Made,58 fl oz Carton,$5.59 ,Medium pulp,No,Calcium,Female,25 - 34,iPhone,0
7,13,2,Minute Made,128floz Bottle ,$4.89 ,No pulp,Yes,Vitamins D and Calcium ,Female,25 - 34,iPhone,1
7,13,3,Tropicana ,58 fl oz Carton,$4.89 ,Medium pulp,Yes,Plant Sterols ,Female,25 - 34,iPhone,0
7,13,4,None,None,None,None,None,None,Female,25 - 34,iPhone,0
8,1,1,Simply Orange,58 fl oz Carton,$3.89 ,Some pulp,No,Vitamins D,Female,45 - 54,iPhone,1
8,1,2,Local Store Brand,58 fl oz Carton,$4.89 ,Medium pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,iPhone,0
8,1,3,Minute Made,128floz Bottle ,$6.00 ,Lots of pulp,Yes,Calcium,Female,45 - 54,iPhone,0
8,1,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,2,1,Simply Orange,58 fl oz Carton,$5.59 ,No pulp,No,Calcium,Female,45 - 54,iPhone,0
8,2,2,Simply Orange,58 fl oz Carton,$5.59 ,Medium pulp,Yes,Calcium,Female,45 - 54,iPhone,0
8,2,3,Simply Orange,128floz Bottle ,$5.59 ,Medium pulp,Yes,Vitamins D,Female,45 - 54,iPhone,1
8,2,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,3,1,Tropicana ,128floz Bottle ,$4.89 ,Some pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,0
8,3,2,Local Store Brand,128floz Bottle ,$4.59 ,Some pulp,Yes,Plant Sterols ,Female,45 - 54,iPhone,0
8,3,3,Tropicana ,58 fl oz Carton,$4.59 ,No pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,1
8,3,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,4,1,Local Store Brand,128floz Bottle ,$4.89 ,Lots of pulp,No,Calcium,Female,45 - 54,iPhone,0
8,4,2,Minute Made,58 fl oz Carton,$5.59 ,Some pulp,No,Plant Sterols ,Female,45 - 54,iPhone,0
8,4,3,Tropicana ,128floz Bottle ,$6.00 ,No pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,iPhone,1
8,4,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,5,1,Minute Made,128floz Bottle ,$4.59 ,No pulp,Yes,Calcium,Female,45 - 54,iPhone,1
8,5,2,Minute Made,58 fl oz Carton,$3.89 ,Lots of pulp,Yes,Vitamins D,Female,45 - 54,iPhone,0
8,5,3,Tropicana ,128floz Bottle ,$6.00 ,No pulp,No,Vitamins D and Calcium ,Female,45 - 54,iPhone,0
8,5,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,6,1,Local Store Brand,58 fl oz Carton,$3.89 ,Lots of pulp,Yes,Plant Sterols ,Female,45 - 54,iPhone,0
8,6,2,Tropicana ,58 fl oz Carton,$4.59 ,Medium pulp,Yes,Vitamins D and Calcium ,Female,45 - 54,iPhone,0
8,6,3,Minute Made,128floz Bottle ,$4.89 ,No pulp,No,Vitamins D,Female,45 - 54,iPhone,1
8,6,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,7,1,Minute Made,58 fl oz Carton,$4.89 ,Some pulp,No,Vitamins D and Calcium ,Female,45 - 54,iPhone,1
8,7,2,Local Store Brand,58 fl oz Carton,$3.89 ,No pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,iPhone,0
8,7,3,Tropicana ,128floz Bottle ,$5.59 ,Medium pulp,No,Plant Sterols ,Female,45 - 54,iPhone,0
8,7,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,8,1,Simply Orange,128floz Bottle ,$6.00 ,Some pulp,Yes,Vitamins D and Calcium ,Female,45 - 54,iPhone,1
8,8,2,Tropicana ,58 fl oz Carton,$5.59 ,Lots of pulp,No,Vitamins D,Female,45 - 54,iPhone,0
8,8,3,Tropicana ,128floz Bottle ,$4.59 ,Medium pulp,Yes,Vitamins D,Female,45 - 54,iPhone,0
8,8,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,9,1,Local Store Brand,128floz Bottle ,$5.59 ,Lots of pulp,Yes,Vitamins D and Calcium ,Female,45 - 54,iPhone,0
8,9,2,Simply Orange,128floz Bottle ,$4.59 ,Lots of pulp,No,Plant Sterols ,Female,45 - 54,iPhone,0
8,9,3,Tropicana ,58 fl oz Carton,$3.89 ,Some pulp,No,Calcium,Female,45 - 54,iPhone,1
8,9,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
8,10,1,Minute Made,58 fl oz Carton,$4.59 ,Lots of pulp,No,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,iPhone,0
8,10,2,Simply Orange,58 fl oz Carton,$4.89 ,No pulp,Yes,Plant Sterols ,Female,45 - 54,iPhone,0
8,10,3,Local Store Brand,128floz Bottle ,$6.00 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,0
8,10,4,None,None,None,None,None,None,Female,45 - 54,iPhone,1
8,11,1,Minute Made,128floz Bottle ,$5.59 ,Some pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,iPhone,0
8,11,2,Local Store Brand,58 fl oz Carton,$5.59 ,No pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,0
8,11,3,Simply Orange,128floz Bottle ,$6.00 ,Lots of pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,0
8,11,4,None,None,None,None,None,None,Female,45 - 54,iPhone,1
8,12,1,Tropicana ,58 fl oz Carton,$4.89 ,Lots of pulp,Yes,Vitamins D and Calcium ,Female,45 - 54,iPhone,0
8,12,2,Local Store Brand,58 fl oz Carton,$3.89 ,Medium pulp,No,Vitamins D and Calcium ,Female,45 - 54,iPhone,0
8,12,3,Simply Orange,128floz Bottle ,$4.89 ,Medium pulp,No,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,iPhone,0
8,12,4,None,None,None,None,None,None,Female,45 - 54,iPhone,1
8,13,1,Minute Made,58 fl oz Carton,$3.89 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,0
8,13,2,Local Store Brand,128floz Bottle ,$6.00 ,Some pulp,No,Vitamins D,Female,45 - 54,iPhone,0
8,13,3,Simply Orange,58 fl oz Carton,$4.59 ,Some pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,iPhone,1
8,13,4,None,None,None,None,None,None,Female,45 - 54,iPhone,0
9,1,1,Local Store Brand,58 fl oz Carton,$3.89 ,No pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,Android,0
9,1,2,Minute Made,58 fl oz Carton,$4.59 ,Medium pulp,No,Vitamins D,Female,45 - 54,Android,1
9,1,3,Tropicana ,128floz Bottle ,$5.59 ,Lots of pulp,No,Plant Sterols ,Female,45 - 54,Android,0
9,1,4,None,None,None,None,None,None,Female,45 - 54,Android,0
9,2,1,Simply Orange,128floz Bottle ,$6.00 ,Some pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,Android,0
9,2,2,Minute Made,58 fl oz Carton,$3.89 ,Some pulp,No,Vitamins D and Calcium ,Female,45 - 54,Android,0
9,2,3,Tropicana ,128floz Bottle ,$4.59 ,No pulp,No,Vitamins D and Calcium ,Female,45 - 54,Android,1
9,2,4,None,None,None,None,None,None,Female,45 - 54,Android,0
9,3,1,Tropicana ,58 fl oz Carton,$5.59 ,Some pulp,Yes,Plant Sterols ,Female,45 - 54,Android,0
9,3,2,Simply Orange,128floz Bottle ,$5.59 ,Medium pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,Android,0
9,3,3,Local Store Brand,128floz Bottle ,$6.00 ,Lots of pulp,Yes,Vitamins D,Female,45 - 54,Android,0
9,3,4,None,None,None,None,None,None,Female,45 - 54,Android,1
9,4,1,Tropicana ,58 fl oz Carton,$4.89 ,Medium pulp,Yes,Vitamins D,Female,45 - 54,Android,0
9,4,2,Simply Orange,58 fl oz Carton,$3.89 ,Lots of pulp,Yes,Vitamins D and Calcium ,Female,45 - 54,Android,0
9,4,3,Local Store Brand,128floz Bottle ,$4.59 ,Some pulp,No,Plant Sterols ,Female,45 - 54,Android,0
9,4,4,None,None,None,None,None,None,Female,45 - 54,Android,1
9,5,1,Minute Made,128floz Bottle ,$5.59 ,Some pulp,Yes,Vitamins D,Female,45 - 54,Android,0
9,5,2,Minute Made,58 fl oz Carton,$3.89 ,Medium pulp,No,Calcium,Female,45 - 54,Android,0
9,5,3,Local Store Brand,58 fl oz Carton,$4.59 ,Lots of pulp,Yes,Plant Sterols ,Female,45 - 54,Android,0
9,5,4,None,None,None,None,None,None,Female,45 - 54,Android,1
9,6,1,Tropicana ,128floz Bottle ,$4.89 ,Lots of pulp,No,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,Android,0
9,6,2,Minute Made,128floz Bottle ,$4.59 ,No pulp,Yes,Calcium,Female,45 - 54,Android,1
9,6,3,Tropicana ,58 fl oz Carton,$4.59 ,Lots of pulp,No,Calcium,Female,45 - 54,Android,0
9,6,4,None,None,None,None,None,None,Female,45 - 54,Android,0
9,7,1,Local Store Brand,128floz Bottle ,$4.89 ,Medium pulp,Yes,Vitamins D and Calcium ,Female,45 - 54,Android,0
9,7,2,Simply Orange,58 fl oz Carton,$4.59 ,Some pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,Android,0
9,7,3,Simply Orange,128floz Bottle ,$6.00 ,Medium pulp,No,Calcium,Female,45 - 54,Android,0
9,7,4,None,None,None,None,None,None,Female,45 - 54,Android,1
9,8,1,Local Store Brand,58 fl oz Carton,$5.59 ,No pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,Android,0
9,8,2,Simply Orange,128floz Bottle ,$5.59 ,Lots of pulp,Yes,Calcium,Female,45 - 54,Android,0
9,8,3,Tropicana ,128floz Bottle ,$6.00 ,Some pulp,Yes,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,Android,0
9,8,4,None,None,None,None,None,None,Female,45 - 54,Android,1
9,9,1,Simply Orange,128floz Bottle ,$4.89 ,No pulp,No,Vitamins D,Female,45 - 54,Android,1
9,9,2,Minute Made,128floz Bottle ,$6.00 ,Lots of pulp,No,"Multi Vitamins (A, B1, C, D, E) ",Female,45 - 54,Android,0
9,9,3,Simply Orange,58 fl oz Carton,$3.89 ,Medium pulp,Yes,Plant Sterols ,Female,45 - 54,Android,0
9,9,4,None,None,None,None,None,None,Female,45 - 54,Android,0
9,10,1,Tropicana ,58 fl oz Carton,$3.89 ,No pulp,Yes,Vitamins D,Female,45 - 54,Android,0
9,10,2,Simply Orange,128floz Bottle ,$4.59 ,No pulp,Yes,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,Android,1
9,10,3,Local Store Brand,58 fl oz Carton,$3.89 ,Some pulp,No,"Multi B Vitamins (B , B6, B12)",Female,45 - 54,Android,0
9,10,4,None,None,None,None,None,None,Female,45 - 54,Android,0
